id,label
301118,3
300277,1
301589,2
303135,1
303052,1
301767,1
302619,1
303090,2
303346,2
301793,3
301080,1
303037,2
300634,1
300094,3
303338,1
300960,3
301168,3
304144,2
300155,2
300126,2
301208,1
301492,1
303626,2
301004,3
301599,1
303971,2
304025,3
304587,2
301698,1
304491,2
300434,2
301925,2
300712,2
304056,1
301093,3
304975,1
302491,2
304707,3
301351,3
300565,1
303168,1
300420,3
304934,3
301786,2
302716,2
300482,1
302794,1
300760,1
302748,1
304669,2
304667,3
300182,2
300840,2
300203,3
300177,2
304829,2
304643,2
301313,3
303207,3
301741,2
300870,2
302575,1
304989,1
303518,3
304714,3
301725,2
302087,1
302855,2
303373,3
304493,3
303607,3
303143,3
303634,3
302153,1
304854,2
302780,3
301469,3
302078,1
300456,2
300298,1
304634,3
302229,3
303155,1
301457,3
303678,3
304752,3
302916,1
301552,3
302404,1
301366,1
303612,1
303885,3
303528,1
302301,1
302821,2
301527,2
304503,2
301489,2
304240,3
301672,2
302696,1
303633,2
300519,2
301092,3
304664,3
304570,2
301586,2
301658,3
300075,2
301971,1
301660,2
301515,1
304685,2
304006,2
300883,2
302143,1
304631,2
302098,2
303462,2
303077,1
303604,2
304059,2
300163,1
300546,1
303490,2
302980,1
301955,2
303161,1
300629,1
301519,1
302184,2
303787,1
300253,2
301076,2
304219,2
301576,2
301894,2
302431,2
304019,1
303175,2
304998,3
303132,2
301656,2
300708,1
300408,2
304472,1
302503,2
303849,3
303610,2
300187,2
301523,1
304723,1
303480,3
303632,3
303625,2
302403,2
301474,1
304542,2
300590,3
303376,3
302006,3
300863,2
302760,2
304711,2
301099,2
301826,2
301943,2
301435,2
300759,3
303539,1
302618,1
301119,3
300023,2
303855,2
303149,3
303602,2
304697,2
301917,1
304708,2
300586,3
304947,1
304796,1
303785,3
301360,1
303200,2
304555,2
301507,2
304382,2
304530,2
300610,1
301881,2
301278,3
303567,2
301333,3
301273,1
303073,2
300928,1
304699,2
303443,1
302709,3
301283,3
303621,2
303429,1
301938,3
303416,3
301084,1
301521,2
303473,2
304145,3
304231,2
304639,1
301880,3
300158,3
302292,1
304455,2
303513,3
301905,3
302877,2
301584,1
304335,2
303327,2
304666,1
303485,2
303560,3
303986,3
300297,2
303481,1
303463,1
304994,3
300700,2
303228,2
302650,3
301052,2
301860,3
302645,1
300169,2
303875,2
301209,2
301641,3
304521,2
304286,2
300029,2
304730,1
304670,2
301946,1
301254,3
304713,3
304132,1
304655,3
301530,3
304199,1
300602,3
300985,2
301477,2
300604,3
302008,3
303671,3
304763,2
302511,2
300531,3
300827,1
303963,3
301737,2
304863,2
302994,1
303725,1
300017,1
300952,3
302204,2
301148,2
303029,1
303896,2
304494,3
302209,2
301794,2
300823,3
